Language Code,Language Name,Language Label,Stay Home,Save Lives,FB ID Simple,FB ID Quaranteam,FB ID Crossed,Skip Generating Assets,Auto Capitalize,Skip Displaying Assets,
en,English,English,STAY HOME,SAVE LIVES,302247084082668,314453936188737,501048220847197,no,yes,no,
nl,Dutch,Nederlands,BLIJF THUIS,RED LEVENS,1205910129739947,212491496495258,1052077201816074,no,yes,yes,Note: 2nd and 3rd FB frames don't load.
ko,Korean,한국어,코로나조심,생명을 구하십시오,,,,no,no,no,
fr,French,Français,Restez chez vous ,Sauvez des vies,938855083197831,647275292501120,600826873977733,no,yes,no,
ro,Romanian,Românește,Stai acasă,Salvează vieți,579526209306732,2601598576768676,930753660698936,no,yes,no,
sv,Swedish,Svenska,Stanna hemma,Rädda liv,846469529185786,643487233051037,524206685148002,no,yes,no,
lt,Lithuanian,Lietuvių Kalba,Lik namuose ,Gelbėk gyvybes,271712573820054,231446531242710,648550642607344,no,yes,no,
fi,Finnish,Suomen Kieli,Pysy kotona ,Pelasta henkiä,649729762483731,3200798626598914,324524211843828,no,yes,no,
da,Danish,Dansk,Bliv hjemme ,Red liv,2483286248589620,510081266547611,601828783741394,no,yes,no,
cmn,Mandarin,官话,留在家,拯救生命,838020903385682,502864693714694,231507734899777,no,no,no,
pl,Polish,Polski,Zostań w domu ,Ratuj ludziom życie,637008270179976,561303077823577,262091034954664,no,yes,no,
de,German,Deutsch,Bleib zu Hause,Leben Retten,218143405921627,2626696740988943,614432899107615,no,yes,no,
ms,Malay,Bahasa Melayu,Duduk Rumah,Menyelamatkan Nyawa ,226128935296961,235967037777693,653234868810653,no,yes,no,
pt,Portuguese,português,Fique em casa,Salve Vidas,836915550140242,1521657077990728,2303962776571584,no,yes,no,
ru,Russian,русский язык,Оставайтесь дома,Спасите жизни,233243094552437,252441672801575,870287396792027,no,yes,no,
es,Spanish,español,Quédate en casa,Salva vidas ,2607739189482900,919166341849144,231226731329377,no,yes,no,
tr,Turkish,Türk dili,Evde Kal,Hayat Kurtar,520694292202730,210411070301767,1081413005559424,no,yes,no,
cs,Czech,čeština,Zůstaň doma,zachraň životy,637931033434281,211041779989279,1553536474793758,no,yes,no,
it,Italian,italiano,Stai a casa,Salva vite,236862377365211,771323303394780,222477475533373,no,yes,yes,Note: the links work but the copy is not quite right AND misspelled (I fixed it here).
haw,Hawaiian,ʻŌlelo Hawaiʻi,E Noho ma ka Hale,E Mālama Ola,222757729133364,259860671678611,3540964689307096,yes,yes,yes,Note: the red one points to the wrong language.
uk,Ukranian,українська мова,Залишайся вдома. ,Рятуй людські життя ,,,,no,no,no,
no,Norwegian,norsk,bli hjemme,redd liv,,,,no,yes,no,
fil,Filipino,Wikang Filipino,Manatili sa bahay,sumagip ng buhay,,,,no,yes,no,
af,Afrikaans,Afrikaans,Bly by die huis,red ‘n lewe!,,,,no,yes,no,
bn,Bangla,বাংলা,বাড়িতে থাকুন / জীবন বাঁচান,*NOT SURE WHICH PART IS WHICH*,,,,yes,no,yes,
ar,Arabic,اَلْعَرَبِيَّةُ,– اقعدوا في البيت/ انقذوا حياة ,*NOT SURE WHICH PART IS WHICH*,,,,yes,no,yes,
he,Hebrew,עברית," תישארו בבית, תצילו חיים",*NOT SURE WHICH PART IS WHICH*,,,,yes,no,yes,
ja,Japanese,日本語, 引きこもりの祭り  ,*NOT SURE WHICH PART IS WHICH*,,,,yes,no,yes,
hi,Hindi,मानक हिन्दी ,घर मे रहो / जान बचाओ,*NOT SURE WHICH PART IS WHICH*,,,,yes,no,yes,
mr,Marathi,मराठी,घरी रहा / जीव वाचवा,*NOT SURE WHICH PART IS WHICH*,,,,yes,no,yes,
